,Model,TN,FP,FN,TP,Accuracy,Precision,Recall or Sensitivity,F1 Score,Specificity,Monte_Carlo_iteration
0,CNN,122.0,16.0,9.0,115.0,0.9045801526717557,0.8778625954198473,0.9274193548387096,0.9019607843137254,0.8840579710144928,Iteration_8
1,LSTM,113.0,25.0,24.0,100.0,0.8129770992366412,0.8,0.8064516129032258,0.8032128514056225,0.8188405797101449,Iteration_8
2,bi-LSTM,112.0,26.0,14.0,110.0,0.8473282442748091,0.8088235294117647,0.8870967741935484,0.8461538461538463,0.8115942028985508,Iteration_8
0,CNN,119.0,12.0,7.0,124.0,0.9274809160305344,0.9117647058823529,0.9465648854961832,0.9288389513108614,0.9083969465648855,Iteration_9
1,LSTM,113.0,18.0,24.0,107.0,0.8396946564885496,0.856,0.816793893129771,0.8359375000000001,0.8625954198473282,Iteration_9
2,bi-LSTM,112.0,19.0,15.0,116.0,0.8702290076335878,0.8592592592592593,0.8854961832061069,0.8721804511278195,0.8549618320610687,Iteration_9
0,CNN,118.0,15.0,7.0,122.0,0.916030534351145,0.8905109489051095,0.9457364341085271,0.9172932330827068,0.8872180451127819,Iteration_10
1,LSTM,113.0,20.0,26.0,103.0,0.8244274809160306,0.8373983739837398,0.7984496124031008,0.8174603174603174,0.849624060150376,Iteration_10
2,bi-LSTM,113.0,20.0,16.0,113.0,0.8625954198473282,0.849624060150376,0.875968992248062,0.8625954198473282,0.849624060150376,Iteration_10
0,CNN,114.0,16.0,8.0,124.0,0.9083969465648855,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8769230769230769,Iteration_11
1,LSTM,108.0,22.0,25.0,107.0,0.8206106870229007,0.8294573643410853,0.8106060606060606,0.8199233716475095,0.8307692307692308,Iteration_11
2,bi-LSTM,107.0,23.0,15.0,117.0,0.8549618320610687,0.8357142857142857,0.8863636363636364,0.8602941176470588,0.823076923076923,Iteration_11
0,CNN,113.0,16.0,9.0,124.0,0.9045801526717557,0.8857142857142857,0.9323308270676691,0.9084249084249083,0.875968992248062,Iteration_12
1,LSTM,107.0,22.0,30.0,103.0,0.8015267175572519,0.824,0.7744360902255639,0.7984496124031008,0.8294573643410853,Iteration_12
2,bi-LSTM,106.0,23.0,19.0,114.0,0.8396946564885496,0.8321167883211679,0.8571428571428571,0.8444444444444443,0.8217054263565892,Iteration_12
0,CNN,114.0,15.0,10.0,123.0,0.9045801526717557,0.8913043478260869,0.924812030075188,0.9077490774907749,0.8837209302325582,Iteration_13
1,LSTM,108.0,21.0,29.0,104.0,0.8091603053435115,0.832,0.7819548872180451,0.8062015503875969,0.8372093023255814,Iteration_13
2,bi-LSTM,108.0,21.0,19.0,114.0,0.8473282442748091,0.8444444444444444,0.8571428571428571,0.8507462686567164,0.8372093023255814,Iteration_13
0,CNN,111.0,16.0,9.0,126.0,0.9045801526717557,0.8873239436619719,0.9333333333333333,0.9097472924187726,0.8740157480314961,Iteration_14
1,LSTM,103.0,24.0,26.0,109.0,0.8091603053435115,0.8195488721804511,0.8074074074074075,0.8134328358208956,0.8110236220472441,Iteration_14
2,bi-LSTM,103.0,24.0,17.0,118.0,0.8435114503816794,0.8309859154929577,0.8740740740740741,0.8519855595667871,0.8110236220472441,Iteration_14
0,CNN,115.0,13.0,9.0,125.0,0.916030534351145,0.9057971014492754,0.9328358208955224,0.9191176470588236,0.8984375,Iteration_15
1,LSTM,108.0,20.0,27.0,107.0,0.8206106870229007,0.84251968503937,0.7985074626865671,0.8199233716475096,0.84375,Iteration_15
2,bi-LSTM,108.0,20.0,16.0,118.0,0.8625954198473282,0.855072463768116,0.8805970149253731,0.8676470588235295,0.84375,Iteration_15
0,CNN,121.0,17.0,7.0,117.0,0.9083969465648855,0.8731343283582089,0.9435483870967742,0.9069767441860465,0.8768115942028986,Iteration_16
1,LSTM,114.0,24.0,25.0,99.0,0.8129770992366412,0.8048780487804879,0.7983870967741935,0.8016194331983806,0.8260869565217391,Iteration_16
2,bi-LSTM,113.0,25.0,16.0,108.0,0.8435114503816794,0.8120300751879699,0.8709677419354839,0.8404669260700389,0.8188405797101449,Iteration_16
0,CNN,121.0,14.0,9.0,118.0,0.9122137404580153,0.8939393939393939,0.9291338582677166,0.9111969111969113,0.8962962962962963,Iteration_17
1,LSTM,114.0,21.0,26.0,101.0,0.8206106870229007,0.8278688524590164,0.7952755905511811,0.8112449799196788,0.8444444444444444,Iteration_17
2,bi-LSTM,114.0,21.0,19.0,108.0,0.8473282442748091,0.8372093023255814,0.8503937007874016,0.8437500000000001,0.8444444444444444,Iteration_17
0,CNN,116.0,16.0,8.0,122.0,0.9083969465648855,0.8840579710144928,0.9384615384615385,0.9104477611940298,0.8787878787878788,Iteration_18
1,LSTM,110.0,22.0,23.0,107.0,0.8282442748091603,0.8294573643410853,0.823076923076923,0.8262548262548264,0.8333333333333334,Iteration_18
