,Accuracy,F1 Score,FN,FP,Model,Precision,Recall or Sensitivity,Specificity,TN,TP,Monte_Carlo_iteration
2,0.916030534351145,0.9122807017543861,31.0,24.0,DecisionTreeClassifier,0.9225806451612903,0.9022082018927445,0.9289940828402367,314.0,286.0,Iteration_8
3,0.7343511450381679,0.7184466019417476,95.0,79.0,MultinomialNB,0.7375415282392026,0.7003154574132492,0.7662721893491125,259.0,222.0,Iteration_8
4,0.6900763358778625,0.6191369606003753,152.0,51.0,SVC,0.7638888888888888,0.5205047318611987,0.849112426035503,287.0,165.0,Iteration_8
5,0.9145038167938931,0.9119496855345911,27.0,29.0,RandomForestClassifier,0.9090909090909091,0.9148264984227129,0.9142011834319527,309.0,290.0,Iteration_8
6,0.6595419847328244,0.7084967320261438,46.0,177.0,AdaBoostClassifier,0.6049107142857143,0.8548895899053628,0.47633136094674555,161.0,271.0,Iteration_8
0,0.6824427480916031,0.6904761904761905,98.0,110.0,LogisticRegression,0.6783625730994152,0.703030303030303,0.6615384615384615,215.0,232.0,Iteration_9
1,0.7419847328244275,0.7252032520325202,107.0,62.0,KNeighborsClassifier,0.7824561403508772,0.6757575757575758,0.8092307692307692,263.0,223.0,Iteration_9
2,0.8900763358778626,0.8922155688622754,32.0,40.0,DecisionTreeClassifier,0.8816568047337278,0.9030303030303031,0.8769230769230769,285.0,298.0,Iteration_9
3,0.683969465648855,0.6698564593301435,120.0,87.0,MultinomialNB,0.7070707070707071,0.6363636363636364,0.7323076923076923,238.0,210.0,Iteration_9
4,0.6519083969465649,0.5869565217391305,168.0,60.0,SVC,0.7297297297297297,0.4909090909090909,0.8153846153846154,265.0,162.0,Iteration_9
5,0.8931297709923665,0.8964497041420119,27.0,43.0,RandomForestClassifier,0.8757225433526011,0.9181818181818182,0.8676923076923077,282.0,303.0,Iteration_9
6,0.6549618320610687,0.7139240506329113,48.0,178.0,AdaBoostClassifier,0.6130434782608696,0.8545454545454545,0.4523076923076923,147.0,282.0,Iteration_9
0,0.7419847328244275,0.7330173775671407,83.0,86.0,LogisticRegression,0.7295597484276729,0.7365079365079366,0.7470588235294118,254.0,232.0,Iteration_10
1,0.7251908396946565,0.6989966555183946,106.0,74.0,KNeighborsClassifier,0.7385159010600707,0.6634920634920635,0.7823529411764706,266.0,209.0,Iteration_10
2,0.9022900763358779,0.896774193548387,37.0,27.0,DecisionTreeClassifier,0.9114754098360656,0.8825396825396825,0.9205882352941176,313.0,278.0,Iteration_10
3,0.6992366412213741,0.6677908937605396,117.0,80.0,MultinomialNB,0.7122302158273381,0.6285714285714286,0.7647058823529411,260.0,198.0,Iteration_10
4,0.6610687022900763,0.5730769230769232,166.0,56.0,SVC,0.7268292682926829,0.473015873015873,0.8352941176470589,284.0,149.0,Iteration_10
5,0.9068702290076336,0.9033280507131538,30.0,31.0,RandomForestClassifier,0.9018987341772152,0.9047619047619048,0.9088235294117647,309.0,285.0,Iteration_10
6,0.6748091603053435,0.7193675889328064,42.0,171.0,AdaBoostClassifier,0.6148648648648649,0.8666666666666667,0.4970588235294118,169.0,273.0,Iteration_10
0,0.7603053435114504,0.7496012759170654,81.0,76.0,LogisticRegression,0.7556270096463023,0.7436708860759493,0.775811209439528,263.0,235.0,Iteration_11
1,0.7374045801526717,0.7104377104377104,105.0,67.0,KNeighborsClassifier,0.7589928057553957,0.6677215189873418,0.8023598820058997,272.0,211.0,Iteration_11
